start,end,text
21.04,24.62,Why won't it come to me?
24.62,27.98,How does it have to be?
27.98,30.51,Must I wait endlessly?
30.51,39.67,Or at least half a century?
40.76,43.56,How long must I wait?
43.56,45.69,No more
45.69,49.01,It's tiring to keep fighting
49.00,52.55,Pretending that you're admiring
52.55,55.85,"Tiring, tiring"
55.85,60.06,Let it go
60.57,64.07,How do I take control?
64.07,67.22,Find the fulfilling flow
67.33,70.63,How do I free my soul
70.63,78.83,How do I free my soul-oul
80.44,82.94,How long must I wait
82.94,84.94,No more
85.07,88.45,It's tiring to keep fighting
88.45,91.99,Pretending that you're admiring
91.99,95.30,"Tiring, tiring"
95.30,98.22,Let it go
98.22,101.87,"Smiling, again smiling"
101.87,105.05,Through the clouds I'm rising
105.06,108.48,"Smiling, smiling"
108.48,111.72,Let it go
111.76,117.53,<nl> Oh-oh-oh-oh </nl>
117.53,120.86,<nl> Oh-oh-oh-oh </nl>
120.86,126.19,<nl> Oh-oh-oh-oh-oh </nl>
146.15,149.54,Why won't it come to me?
149.54,152.89,Endlessly out of reach
152.89,157.34,How does it have to be?
157.34,160.60,It's tiring to keep fighting
160.63,164.00,Pretending that you're admiring
164.00,167.59,"Tiring, tiring"
167.59,170.75,Let it go
170.76,174.13,"Smiling, again smiling"
174.13,177.42,Through the clouds I'm rising
177.42,180.78,"Smiling, smiling"
180.78,184.99,Let it go
185.60,188.95,Let it go
188.95,192.15,Let it go
192.15,196.75,Let it go
